,asv,direction,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s,num
ASV344,ASV344,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Montagnulaceae,100,Montagnulaceae_unidentified,100,Montagnulaceae_sp|SH224134.06FU,100,344
ASV346,ASV346,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,79,Ascomycota_unidentified_1,79,Ascomycota_unidentified_1,79,Ascomycota_unidentified_1_1,79,Ascomycota_sp|SH216151.06FU,79,346
ASV347,ASV347,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1_1,100,Ascomycota_sp|SH224125.06FU,100,347
ASV348,ASV348,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Incertae_sedis_12_unidentified,99,Tremellales_sp|SH197180.06FU,99,348
ASV349,ASV349,+,Fungi,100,Fungi_unidentified,100,Fungi_unidentified_1,100,Fungi_unidentified_1,100,Fungi_unidentified_1_1,100,Fungi_unidentified_1_1,100,Fungi_sp|SH213113.06FU,100,349
ASV350,ASV350,+,Fungi,100,Ascomycota,100,Taphrinomycetes,100,Taphrinales,100,Taphrinaceae,100,Lalaria,100,Lalaria_inositophila|SH219275.06FU,95,350
ASV351,ASV351,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Sporobolomyces,100,Sporobolomyces_ruber|SH219452.06FU,70,351
ASV352,ASV352,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Incertae_sedis_7,100,Plectosphaerellaceae,100,Lectera,100,Lectera_longa|SH219644.06FU,100,352
ASV353,ASV353,+,Fungi,100,Ascomycota,100,Eurotiomycetes,76,Chaetothyriales,76,Herpotrichiellaceae,73,,18,,18,353
ASV354,ASV354,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellomycetes_unidentified,100,Tremellomycetes_unidentified_1,100,Tremellomycetes_unidentified_1,100,Tremellomycetes_sp|SH212069.06FU,100,354
ASV355,ASV355,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_unidentified,100,Pleosporales_unidentified_1,100,Pleosporales_sp|SH206981.06FU,100,355
ASV356,ASV356,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Sordariomycetes_unidentified,100,Sordariomycetes_unidentified_1,100,Sordariomycetes_unidentified_1,100,Sordariomycetes_sp|SH219629.06FU,100,356
ASV357,ASV357,+,Fungi,100,,62,,20,,20,,20,,12,,12,357
ASV361,ASV361,+,Fungi,100,Basidiomycota,100,Tremellomycetes,99,Tremellales,99,Incertae_sedis_12,99,,62,,56,361
ASV364,ASV364,+,Fungi,100,Ascomycota,99,Leotiomycetes,90,Helotiales,88,Helotiales_unidentified,75,Helotiales_unidentified_1,75,Helotiales_sp|SH191096.06FU,72,364
ASV365,ASV365,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Dioszegia,100,Dioszegia_takashimae|SH196965.06FU,78,365
ASV367,ASV367,+,Fungi,100,Ascomycota,100,Sordariomycetes,99,Hypocreales,99,Bionectriaceae,99,Clonostachys,99,Clonostachys_sp|SH236640.06FU,99,367
ASV368,ASV368,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Nectriaceae,100,Fusarium,91,Fusarium_sporotrichioides|SH217307.06FU,91,368
ASV369,ASV369,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Pleosporales,99,Pleosporales_unidentified,99,Pleosporales_unidentified_1,99,Pleosporales_sp|SH229317.06FU,99,369
ASV370,ASV370,+,Fungi,100,Ascomycota,100,Eurotiomycetes,100,Chaetothyriales,100,Herpotrichiellaceae,100,Phaeococcomyces,96,Phaeococcomyces_sp|SH217607.06FU,96,370
ASV371,ASV371,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,,34,,33,,33,371
ASV372,ASV372,+,Fungi,100,Fungi_unidentified,100,Fungi_unidentified_1,100,Fungi_unidentified_1,100,Fungi_unidentified_1_1,100,Fungi_unidentified_1_1,100,Fungi_sp|SH213113.06FU,100,372
ASV373,ASV373,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellomycetes_unidentified,100,Tremellomycetes_unidentified_1,100,Tremellomycetes_unidentified_1,100,Tremellomycetes_sp|SH219359.06FU,100,373
ASV374,ASV374,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Sordariomycetes_unidentified,100,Sordariomycetes_unidentified_1,100,Sordariomycetes_unidentified_1,100,Sordariomycetes_sp|SH219632.06FU,97,374
ASV375,ASV375,+,Fungi,100,Ascomycota,100,Leotiomycetes,100,Erysiphales,100,Erysiphaceae,100,Blumeria,100,Blumeria_graminis|SH195226.06FU,99,375
ASV380,ASV380,+,Fungi,100,Ascomycota,99,,50,,33,,33,,31,,31,380
ASV382,ASV382,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Incertae_sedis_3,100,Myrothecium,100,,27,382
ASV383,ASV383,+,Fungi,100,Ascomycota,98,Dothideomycetes,84,Pleosporales,84,,63,,43,,26,383
ASV384,ASV384,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Incertae_sedis_13,100,Periconia,100,Periconia_sp|SH232015.06FU,100,384
ASV387,ASV387,+,Fungi,100,Ascomycota,75,,18,,18,,18,,14,,14,387
ASV388,ASV388,+,Fungi,100,Ascomycota,98,Dothideomycetes,82,Pleosporales,82,,55,,35,,19,388
ASV389,ASV389,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Auriculibuller,100,Auriculibuller_fuscus|SH229453.06FU,100,389
ASV390,ASV390,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1_1,100,Ascomycota_sp|SH213440.06FU,100,390
ASV391,ASV391,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Edenia,100,Edenia_sp|SH229316.06FU,100,391
ASV392,ASV392,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Cryptococcus_1,100,Cryptococcus_dimennae|SH197113.06FU,83,392
