"","plot","troph","sum"
"460",228,Symbiotroph,608
"461",229,na,2801
"462",229,Pathotroph,839
"463",229,Saprotroph,3911
"464",229,Symbiotroph,185
"465",23,na,57
"466",23,Pathotroph,0
"467",23,Saprotroph,135
"468",23,Symbiotroph,0
"469",230,na,3091
"470",230,Pathotroph,623
"471",230,Saprotroph,4857
"472",230,Symbiotroph,203
"473",231,na,2087
"474",231,Pathotroph,156
"475",231,Saprotroph,4308
"476",231,Symbiotroph,106
"477",232,na,2867
"478",232,Pathotroph,182
"479",232,Saprotroph,2860
"480",232,Symbiotroph,481
"481",233,na,2072
"482",233,Pathotroph,220
"483",233,Saprotroph,2974
"484",233,Symbiotroph,88
"485",234,na,3501
"486",234,Pathotroph,790
"487",234,Saprotroph,4001
"488",234,Symbiotroph,202
"489",235,na,3812
"490",235,Pathotroph,546
"491",235,Saprotroph,6669
"492",235,Symbiotroph,98
"493",236,na,3872
"494",236,Pathotroph,474
"495",236,Saprotroph,8883
"496",236,Symbiotroph,132
"497",237,na,2520
"498",237,Pathotroph,695
"499",237,Saprotroph,5977
"500",237,Symbiotroph,211
"501",238,na,5363
"502",238,Pathotroph,373
"503",238,Saprotroph,9863
"504",238,Symbiotroph,280
"505",239,na,2734
"506",239,Pathotroph,111
"507",239,Saprotroph,3393
"508",239,Symbiotroph,100
"509",24,na,50
"510",24,Pathotroph,0
"511",24,Saprotroph,143
"512",24,Symbiotroph,5
"513",240,na,3401
"514",240,Pathotroph,155
"515",240,Saprotroph,5442
"516",240,Symbiotroph,155
"517",25,na,524
"518",25,Pathotroph,4
"519",25,Saprotroph,343
"520",25,Symbiotroph,0
"521",26,na,3244
"522",26,Pathotroph,5
"523",26,Saprotroph,1498
"524",26,Symbiotroph,39
"525",27,na,3025
"526",27,Pathotroph,11
"527",27,Saprotroph,2085
"528",27,Symbiotroph,19
"529",28,na,1193
"530",28,Pathotroph,14
"531",28,Saprotroph,1301
"532",28,Symbiotroph,13
"533",29,na,4604
"534",29,Pathotroph,49
"535",29,Saprotroph,2718
"536",29,Symbiotroph,0
"537",30,na,1500
"538",30,Pathotroph,2
"539",30,Saprotroph,1222
"540",30,Symbiotroph,0
"541",31,na,3249
"542",31,Pathotroph,24
"543",31,Saprotroph,2086
"544",31,Symbiotroph,0
"545",32,na,2014
"546",32,Pathotroph,6
"547",32,Saprotroph,1850
"548",32,Symbiotroph,15
"549",33,na,3664
"550",33,Pathotroph,9
"551",33,Saprotroph,2209
"552",33,Symbiotroph,12
"553",34,na,1642
"554",34,Pathotroph,14
"555",34,Saprotroph,1023
"556",34,Symbiotroph,13
"557",35,na,3723
"558",35,Pathotroph,7
"559",35,Saprotroph,1605
"560",35,Symbiotroph,17
"561",36,na,846
"562",36,Pathotroph,0
"563",36,Saprotroph,299
"564",36,Symbiotroph,0
